EXCH,SEGMENT,SECURITY_ID,INSTRUMENT_NAME,EXPIRY_CODE,TRADING_SYMBOL,LOT_UNITS,CUSTOM_SYMBOL,EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SERIES,SYMBOL_NAME
NSE,E,761326,EQUITY,,741GJ37,100,SDL GJ 7.41% 2037,,0.00000,,1,NA,Other,SG,SDL GJ 7.41% 2037
NSE,E,763861,EQUITY,,INSIFHLSRR,1,KOTAKMAMC - INSIFHLSRR,,0.00000,,1,NA,Other,SF,KOTAKMAMC - INSIFHLSRR
NSE,E,3010,EQUITY,,ITAXIS,1,AXISAMC-ITAXIS,,0.00000,,1,NA,ETF,EQ,Axis Nifty IT ETF
NSE,E,756104,EQUITY,,678RJ47,100,SDL RJ 6.78% 2047,,0.00000,,1,NA,Other,SG,SDL RJ 6.78% 2047
NSE,E,757736,EQUITY,,700AP37,100,SDL AP 7.00% 2037,,0.00000,,1,NA,Other,SG,SDL AP 7.00% 2037
NSE,E,760859,EQUITY,,696PFCL28,1,PFCL 6.96% 2028 SR 259A,,0.00000,,1,NA,Other,N0,PFCL 6.96% 2028 SR 259A
BSE,E,526887,EQUITY,,INDOCRED,1,INDO CREDIT CAPITAL LTD.,,0.00000,,1,NA,ES,XT,Indo Credit Capital Ltd
BSE,E,543311,EQUITY,,IPL,1,India Pesticides Limited,,0.00000,,5,NA,ES,B,India Pesticides Ltd
BSE,E,977179,EQUITY,,1735ATPL29,1,ATPL-17.35%-30-09-29-PVT,,0.00000,,1,NA,Other,F,ATPL-17.35%-30-09-29-PVT
NSE,E,760341,EQUITY,,723TN35,100,SDL TN 7.23% 2035,,0.00000,,1,NA,Other,SG,SDL TN 7.23% 2035
BSE,E,956710,EQUITY,,99ERCL27A,1,EAVCL-9.90%-30-6-27-PVT,,0.00000,,1,NA,DEB,F,EAVCL-9.90%-30-6-27-PVT
NSE,E,27052,EQUITY,,SAGILITY,1,SAGILITY LIMITED,,0.00000,,1,NA,ES,EQ,Sagility Ltd
BSE,E,800751,EQUITY,,GS06MAY60,1,GS06MAY60,,0.00000,,1,NA,DBT,G,GS06MAY60
BSE,E,500463,EQUITY,,BBOX,1,BLACK BOX LIMITED,,0.00000,,5,NA,ES,A,Black Box Ltd
NSE,E,11281,EQUITY,,771AP34,100,SDL AP 7.71% 2034,,0.00000,,1,NA,DBT,SG,SDL AP 7.71% 2034
NSE,E,761521,EQUITY,,779JK51,100,SDL JK 7.79% 2051,,0.00000,,1,NA,Other,SG,SDL JK 7.79% 2051
BSE,E,731776,EQUITY,,JBC10626,1,JBC-31-8-26-CP,,0.00000,,1,NA,Other,F,JBC-31-8-26-CP
