EXCH,SEGMENT,SECURITY_ID,INSTRUMENT_NAME,EXPIRY_CODE,TRADING_SYMBOL,LOT_UNITS,CUSTOM_SYMBOL,EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SERIES,SYMBOL_NAME
NSE,D,111086,OPTSTK,25 Aug 2026,HYUNDAI-Aug2026-1080-CE,275,HYUNDAI 25 AUG 1080 CE,08/25/2026 14:00,1080.00000,CE,5,M,OPTSTK,,
NSE,D,153390,OPTSTK,28 Jul 2026,WIPRO-Jul2026-162.5-CE,3000,WIPRO 28 JUL 162.5 CE,07/28/2026 14:00,162.50000,CE,1,M,OPTSTK,,
NSE,D,88833,OPTSTK,25 Aug 2026,BAJFINANCE-Aug2026-1170-CE,750,BAJFINANCE 25 AUG 1170 CE,08/25/2026 14:00,1170.00000,CE,5,M,OPTSTK,,
NSE,D,134841,OPTSTK,29 Sep 2026,ONGC-Sep2026-200-CE,2250,ONGC 29 SEP 200 CE,09/29/2026 14:00,200.00000,CE,1,M,OPTSTK,,
NSE,D,37220,OPTSTK,25 Aug 2026,ITC-Aug2026-180-PE,1725,ITC 25 AUG 180 PE,08/25/2026 14:00,180.00000,PE,5,M,OPTSTK,,
NSE,D,43355,OPTSTK,25 Aug 2026,SBIN-Aug2026-730-CE,750,SBIN 25 AUG 730 CE,08/25/2026 14:00,730.00000,CE,5,M,OPTSTK,,
NSE,D,37027,OPTSTK,25 Aug 2026,GODREJCP-Aug2026-1350-CE,500,GODREJCP 25 AUG 1350 CE,08/25/2026 14:00,1350.00000,CE,5,M,OPTSTK,,
NSE,D,76965,OPTSTK,25 Aug 2026,BHEL-Aug2026-540-PE,2625,BHEL 25 AUG 540 PE,08/25/2026 14:00,540.00000,PE,5,M,OPTSTK,,
NSE,D,71944,OPTSTK,25 Aug 2026,ASIANPAINT-Aug2026-3080-CE,250,ASIANPAINT 25 AUG 3080 CE,08/25/2026 14:00,3080.00000,CE,5,M,OPTSTK,,
NSE,D,97463,OPTSTK,25 Aug 2026,HAL-Aug2026-4300-CE,150,HAL 25 AUG 4300 CE,08/25/2026 14:00,4300.00000,CE,5,M,OPTSTK,,
NSE,D,54006,OPTSTK,28 Jul 2026,TMPV-Jul2026-285-PE,1600,TMPV 28 JUL 285 PE,07/28/2026 14:00,285.00000,PE,5,M,OPTSTK,,
NSE,D,58813,OPTIDX,25 Aug 2026,BANKNIFTY-Aug2026-49000-PE,30,BANKNIFTY 25 AUG 49000 PE,08/25/2026 14:00,49000.00000,PE,5,M,OPTIDX,,
NSE,D,122977,OPTSTK,25 Aug 2026,LTF-Aug2026-285-PE,2250,LTF 25 AUG 285 PE,08/25/2026 14:00,285.00000,PE,5,M,OPTSTK,,
NSE,D,41993,OPTSTK,28 Jul 2026,SWIGGY-Jul2026-335-CE,1825,SWIGGY 28 JUL 335 CE,07/28/2026 14:00,335.00000,CE,1,M,OPTSTK,,
NSE,D,107315,OPTSTK,25 Aug 2026,GRASIM-Aug2026-4120-PE,250,GRASIM 25 AUG 4120 PE,08/25/2026 14:00,4120.00000,PE,5,M,OPTSTK,,
NSE,D,38823,OPTSTK,25 Aug 2026,LTF-Aug2026-415-PE,2250,LTF 25 AUG 415 PE,08/25/2026 14:00,415.00000,PE,5,M,OPTSTK,,
NSE,D,144773,OPTSTK,28 Jul 2026,TECHM-Jul2026-1284-CE,600,TECHM 28 JUL 1284 CE,07/28/2026 14:00,1284.00000,CE,5,M,OPTSTK,,
NSE,D,156362,OPTSTK,29 Sep 2026,VOLTAS-Sep2026-1160-CE,375,VOLTAS 29 SEP 1160 CE,09/29/2026 14:00,1160.00000,CE,5,M,OPTSTK,,
NSE,D,123268,OPTSTK,28 Jul 2026,NATIONALUM-Jul2026-350-CE,1875,NATIONALUM 28 JUL 350 CE,07/28/2026 14:00,350.00000,CE,5,M,OPTSTK,,
NSE,D,131824,OPTSTK,28 Jul 2026,PGEL-Jul2026-360-PE,950,PGEL 28 JUL 360 PE,07/28/2026 14:00,360.00000,PE,5,M,OPTSTK,,
NSE,D,135385,OPTSTK,25 Aug 2026,PGEL-Aug2026-640-PE,950,PGEL 25 AUG 640 PE,08/25/2026 14:00,640.00000,PE,5,M,OPTSTK,,
NSE,D,86566,OPTSTK,25 Aug 2026,AUROPHARMA-Aug2026-1460-CE,550,AUROPHARMA 25 AUG 1460 CE,08/25/2026 14:00,1460.00000,CE,5,M,OPTSTK,,
NSE,D,121505,OPTSTK,25 Aug 2026,MANKIND-Aug2026-1520-PE,250,MANKIND 25 AUG 1520 PE,08/25/2026 14:00,1520.00000,PE,5,M,OPTSTK,,
NSE,D,41801,OPTSTK,25 Aug 2026,NAUKRI-Aug2026-1600-CE,550,NAUKRI 25 AUG 1600 CE,08/25/2026 14:00,1600.00000,CE,5,M,OPTSTK,,
NSE,D,79691,OPTSTK,28 Jul 2026,BPCL-Jul2026-230-PE,1975,BPCL 28 JUL 230 PE,07/28/2026 14:00,230.00000,PE,5,M,OPTSTK,,
NSE,D,35154,OPTSTK,25 Aug 2026,ADANIGREEN-Aug2026-1940-CE,600,ADANIGREEN 25 AUG 1940 CE,08/25/2026 14:00,1940.00000,CE,5,M,OPTSTK,,
NSE,D,111165,OPTSTK,25 Aug 2026,HYUNDAI-Aug2026-2260-CE,275,HYUNDAI 25 AUG 2260 CE,08/25/2026 14:00,2260.00000,CE,5,M,OPTSTK,,
NSE,D,110221,OPTSTK,25 Aug 2026,HINDUNILVR-Aug2026-1740-PE,300,HINDUNILVR 25 AUG 1740 PE,08/25/2026 14:00,1740.00000,PE,5,M,OPTSTK,,
NSE,D,51678,OPTSTK,25 Aug 2026,APOLLOHOSP-Aug2026-12200-PE,125,APOLLOHOSP 25 AUG 12200 PE,08/25/2026 14:00,12200.00000,PE,5,M,OPTSTK,,
NSE,D,83291,OPTSTK,29 Sep 2026,AMBUJACEM-Sep2026-490-PE,1200,AMBUJACEM 29 SEP 490 PE,09/29/2026 14:00,490.00000,PE,5,M,OPTSTK,,
NSE,D,130788,OPTSTK,28 Jul 2026,PERSISTENT-Jul2026-6400-CE,125,PERSISTENT 28 JUL 6400 CE,07/28/2026 14:00,6400.00000,CE,5,M,OPTSTK,,
BSE,D,859084,OPTIDX,03 Sep 2026,SENSEX-03Sep2026-75700-PE,20,SENSEX 03 SEP 75700 PE,09/03/2026 14:00,75700.00000,PE,5,W,OPTIDX,,BSXOPT
NSE,D,154736,OPTSTK,29 Sep 2026,TORNTPHARM-Sep2026-3900-CE,125,TORNTPHARM 29 SEP 3900 CE,09/29/2026 14:00,3900.00000,CE,5,M,OPTSTK,,
NSE,D,65489,OPTSTK,28 Jul 2026,ABB-Jul2026-6600-PE,125,ABB 28 JUL 6600 PE,07/28/2026 14:00,6600.00000,PE,5,M,OPTSTK,,
NSE,D,44799,OPTSTK,28 Jul 2026,KEI-Jul2026-7000-PE,175,KEI 28 JUL 7000 PE,07/28/2026 14:00,7000.00000,PE,5,M,OPTSTK,,
NSE,D,102086,OPTSTK,28 Jul 2026,ICICIPRULI-Jul2026-450-CE,925,ICICIPRULI 28 JUL 450 CE,07/28/2026 14:00,450.00000,CE,5,M,OPTSTK,,
NSE,D,89680,OPTSTK,25 Aug 2026,BANKINDIA-Aug2026-152.5-CE,5200,BANKINDIA 25 AUG 152.5 CE,08/25/2026 14:00,152.50000,CE,1,M,OPTSTK,,
