EXCH,SEGMENT,SECURITY_ID
BSE,BSE Focused IT,40000129
NSE,NIFTY IT,40000004
NSE,Nifty GS 15YrPlu,40000059
NSE,NIFTY PHARMA,40000005
BSE,SENSEX,40000006
BSE,BSE Dollex 200,40000007
NSE,Nifty GS 11 15Yr,40000008
NSE,Nifty Energy,40000009
BSE,S&P BSE Capital Goods,40000010
BSE,S&P BSE POWER,40000011
NSE,Nifty MNC,40000012
BSE,BSE Auto,40000013
NSE,Nifty10 BG-Sec-C,40000014
NSE,Nifty100 ESG,40000015
NSE,Nifty Midcap150Q,40000016
NSE,Nifty Midcap 50,40000017
BSE,S&P BSE Energy,40000018
BSE,S&P BSE Utilities,40000019
BSE,S&P BSE Metal,40000020
NSE,Nifty100 ESGSec,40000030
NSE,Nifty 50 Eq Wght,40000031
NSE,NIFTY 50,40000001
NSE,NIFTY 100,40000002
NSE,BANK NIFTY,40000003
NSE,Nifty Oil & Gas,40000104
NSE,Nfty500M50 25 25,40000105
BSE,S&P BSE Consumer Durables,40000021
NSE,Nifty Healthcare,40000022
BSE,BSE SME IPO,40000023
NSE,Nifty FMCG,40000024
NSE,Nifty Media,40000025
BSE,S&P BSE CPSE,40000026
NSE,Nifty India Dig.,40000027
NSE,Nifty Div Opp 50,40000028
BSE,S&P BSE AllCap,40000029
BSE,S&P BSE OIL & GAS,40000032
BSE,BANKEX,40000033
NSE,Nifty Auto,40000034
BSE,BSE Small-Cap,40000035
NSE,Nifty Metal,40000036
NSE,Nifty Infra,40000037
BSE,S&P BSE SmallCap Select,40000038
BSE,S&P BSE SEN. N50,40000039
NSE,Nifty Next 50,40000040
BSE,BSE Mid-Cap,40000041
BSE,S&P BSE PSU,40000042
NSE,Nifty100 Low Volatility 30,40000043
NSE,Nifty50 TR 2xLev,40000044
BSE,BSE FMCG Sector,40000045
NSE,Nifty Grow Sec15,40000046
NSE,Nifty50 TR 1xInv,40000047
NSE,Nifty GS Compsit,40000048
NSE,Nifty Alpha 50,40000049
BSE,S&P BSE Largecap,40000050
NSE,Nifty GS 4 8Yr,40000051
BSE,S&P BSE Realty,40000052
BSE,DFRGRI Indices,40000053
BSE,S&P BSE 250 SmallCap,40000054
NSE,Nifty Smallcap 50,40000055
NSE,Nifty Midcap 100,40000056
NSE,Nifty Commodities,40000057
BSE,BSE Dollex 100,40000058
BSE,S&P BSE CARBONEX,40000060
NSE,Nifty Total Mar.,40000061
NSE,Nifty Midcap 150,40000062
BSE,BSE Healthcare,40000063
NSE,Nifty Services Sector,40000064
BSE,S&P BSE Bharat 22,40000065
BSE,S&P BSE Quality,40000066
NSE,Nifty 100 Liquid 15,40000067
BSE,S&P BSE MidCap Select,40000068
NSE,Nifty50 DivPoint,40000069
BSE,S&P BSE Telecom.,40000070
BSE,S&P BSE 100 ESG,40000071
BSE,S&P BSE Momentum,40000072
BSE,S&P BSE Private Banks,40000073
NSE,Nifty Consumer Durables,40000074
NSE,Nifty Alpha LV30,40000075
NSE,NiftyFinSrv25 50,40000076
BSE,S&P BSE SENSEX 50,40000077
NSE,Nifty Small 100,40000078
NSE,Nifty100 Eq Weig,40000079
BSE,S&P BSE Fin. Ser,40000080
NSE,Nifty LargeMidcap 250,40000081
BSE,S&P BSE 100 LargeCap TMC,40000082
NSE,Nifty 10 B-G Sec,40000083
BSE,BSE 200,40000084
NSE,Nifty Private Bank,40000085
BSE,S&P BSE 150 MidCap,40000086
BSE,S&P BSE Dividend Stability,40000087
NSE,Nifty50 PR 2xLev,40000088
BSE,S&P BSE Enhanced Value,40000089
NSE,Nifty Microcp250,40000090
BSE,BSESER,40000091
NSE,Nifty India Mfg,40000092
NSE,Nifty Midcap Sel,40000093
BSE,S&P BSE 250 LargeMidCap,40000094
NSE,Nifty Smallcap 250,40000095
NSE,Nifty200 Momen30,40000096
NSE,Nifty 8-13 G-Sec,40000097
NSE,Nifty50 Value 20,40000098
BSE,S&P BSE 400 MidSmallCap,40000099
NSE,Nifty Financial,40000100
NSE,Nifty PSU Bank,40000101
NSE,Nifty CPSE,40000102
NSE,Nifty100 Quality,40000103
BSE,BSE Greenex,40000106
NSE,India VIX,40000107
BSE,BSE MFG,40000108
NSE,Nifty Midcap Liquid 15,40000109
BSE,BSE IT Sector,40000110
NSE,Nifty50 PR 1xInv,40000111
BSE,S&P BSE Indus.,40000112
NSE,Nifty 200,40000113
BSE,BSE Dollex 30,40000114
NSE,Nifty PSE,40000115
BSE,BSE IPO,40000116
BSE,S&P BSE Commodities,40000117
NSE,Nifty Realty,40000118
NSE,Nifty 500,40000119
NSE,Nifty200 Qual 30,40000120
NSE,Nifty MidSmallcap 400,40000121
BSE,BSE Tech,40000122
BSE,S&P BSE Infra.,40000123
NSE,Nifty India Consumption,40000124
BSE,S&P BSE Low Volatility,40000125
BSE,BSE Consumer Discretionary,40000126
BSE,BSE 500,40000127
BSE,BSE 100,40000128
